Solution,RDMnum,Realization,Year,Utility,Project
0,0,95,23,Raleigh,Reallocate Falls Lake
0,0,95,33,Durham,Western JL WTP (Large)
0,0,95,48,Raleigh,Neuse River Intake
0,0,96,16,Durham,Western JL WTP (Small)
0,0,96,23,Raleigh,Reallocate Falls Lake
0,0,96,33,Durham,Western JL WTP (Large)
0,0,96,48,Raleigh,Neuse River Intake
0,0,97,16,Durham,Western JL WTP (Small)
0,0,97,23,Raleigh,Reallocate Falls Lake
0,0,97,33,Durham,Western JL WTP (Large)
0,0,98,16,Durham,Western JL WTP (Small)
0,0,98,23,Raleigh,Reallocate Falls Lake
0,0,98,33,Durham,Western JL WTP (Large)
0,0,98,42,Raleigh,Neuse River Intake
0,0,99,16,Durham,Western JL WTP (Small)
0,0,99,22,Raleigh,Reallocate Falls Lake
0,0,99,33,Durham,Western JL WTP (Large)
0,0,99,43,Raleigh,Neuse River Intake
0,0,100,16,Durham,Western JL WTP (Small)
0,0,100,23,Raleigh,Reallocate Falls Lake
0,0,100,33,Durham,Western JL WTP (Large)
0,0,100,47,Raleigh,Neuse River Intake
0,0,101,16,Durham,Western JL WTP (Small)
0,0,101,23,Raleigh,Reallocate Falls Lake
0,0,101,33,Durham,Western JL WTP (Large)
0,0,101,48,Raleigh,Neuse River Intake
0,0,102,16,Durham,Western JL WTP (Small)
0,0,102,23,Raleigh,Reallocate Falls Lake
0,0,102,33,Durham,Western JL WTP (Large)
0,0,102,48,Raleigh,Neuse River Intake
0,0,103,16,Durham,Western JL WTP (Small)
0,0,103,23,Raleigh,Reallocate Falls Lake
0,0,103,33,Durham,Western JL WTP (Large)
0,0,103,47,Raleigh,Neuse River Intake
0,0,104,16,Durham,Western JL WTP (Small)
0,0,104,23,Raleigh,Reallocate Falls Lake
0,0,104,33,Durham,Western JL WTP (Large)
0,0,104,44,Raleigh,Neuse River Intake
0,0,105,16,Durham,Western JL WTP (Small)
0,0,105,23,Raleigh,Reallocate Falls Lake
0,0,105,33,Durham,Western JL WTP (Large)
0,0,105,45,Raleigh,Neuse River Intake
0,0,106,16,Durham,Western JL WTP (Small)
0,0,106,23,Raleigh,Reallocate Falls Lake
0,0,106,33,Durham,Western JL WTP (Large)
0,0,106,48,Raleigh,Neuse River Intake
0,0,107,16,Durham,Western JL WTP (Small)
0,0,107,21,Raleigh,Reallocate Falls Lake
0,0,107,33,Durham,Western JL WTP (Large)
0,0,107,42,Raleigh,Neuse River Intake
0,0,108,16,Durham,Western JL WTP (Small)
